player_id,year,hometown,homestate,high_school,previous_school_clean,year_clean,hs_clean,hometown_clean,state_clean,country_clean
14538,Freshman,Oconomowoc,Wis,Oconomowoc,,Freshman,Oconomowoc,"OCONOMOWOC, WIS",WI,USA
14529,Sophomore,La Porte,Ind,La Porte,,Sophomore,La Porte,"LA PORTE, IND",IN,USA
7483,Sophomore,Pflugerville,Texas,Hendrickson,,Sophomore,Hendrickson,"PFLUGERVILLE, TX",TX,USA
7486,Freshman,Crosby,Texas,Crosby,,Freshman,Crosby,"CROSBY, TX",TX,USA
7472,Junior,Grand Prairie,Texas,Mansfield Lake Ridge,SAGU,Junior,Mansfield Lake Ridge,"GRAND PRAIRIE, TX",TX,USA
7479,Sophomore,Dallas,Texas,Parish Episcopal,Austin College,Sophomore,Parish Episcopal,"DALLAS, TX",TX,USA
7481,Sophomore,Mansfield,Texas,Southwest Christian,,Sophomore,Southwest Christian,"MANSFIELD, TX",TX,USA
7487,Freshman,Lubbock,Texas,Cooper,,Freshman,Cooper,"LUBBOCK, TX",TX,USA
7473,Junior,Horizon City,Texas,East Lake,,Junior,East Lake,"HORIZON CITY, TX",TX,USA
7488,Freshman,Austin,Texas,Vandegrift,,Freshman,Vandegrift,"AUSTIN, TX",TX,USA
7489,Senior,Plano,Texas,Prestonwood Christian,Garden City CC,Senior,Prestonwood Christian,"PLANO, TX",TX,USA
7490,Freshman,Cuero,Texas,Cuero,,Freshman,Cuero,"CUERO, TX",TX,USA
7491,Freshman,Newberg,Oregon,Newberg,,Freshman,Newberg,"NEWBERG, OR",OR,USA
7492,Junior,Cross Plains,Texas,Cross Plains,Hardin-Simmons,Junior,Cross Plains,"CROSS PLAINS, TX",TX,USA
7493,Junior,New Braunfels,Texas,Canyon,Temple JC,Junior,Canyon,"NEW BRAUNFELS, TX",TX,USA
7494,Freshman,Houston,Texas,Clear Springs,,Freshman,Clear Springs,"HOUSTON, TX",TX,USA
7495,Freshman,Snook,Texas,Snook,SAGU,Freshman,Snook,"SNOOK, TX",TX,USA
7496,Freshman,Cedar Park,Texas,Cedar Park,,Freshman,Cedar Park,"CEDAR PARK, TX",TX,USA
7478,Junior,Kerrville,Texas,Tivy,St. Edwards,Junior,Tivy,"KERRVILLE, TX",TX,USA
7475,Junior,Frisco,Texas,Coram Deo,,Junior,Coram Deo,"FRISCO, TX",TX,USA
7497,Freshman,Wichita Falls,Texas,Rider,,Freshman,Rider,"WICHITA FALLS, TX",TX,USA
7476,Sophomore,Luling,Texas,Luling,,Sophomore,Luling,"LULING, TX",TX,USA
7498,Freshman,Corpus Christi,Texas,Veterans Memorial,,Freshman,Veterans Memorial,"CORPUS CHRISTI, TX",TX,USA
7482,Sophomore,Spring,Texas,Lutheran High North,,Sophomore,Lutheran High North,"SPRING, TX",TX,USA
7499,Freshman,Plano,Texas,Plano,,Freshman,Plano,"PLANO, TX",TX,USA
7500,Freshman,Crosby,Texas,Crosby,,Freshman,Crosby,"CROSBY, TX",TX,USA
7501,Freshman,Harper,Texas,Harper,,Freshman,Harper,"HARPER, TX",TX,USA
7502,Freshman,Wylie,Texas,East,,Freshman,East,"WYLIE, TX",TX,USA
7503,Sophomore,San Antonio,Texas,Antonian Prep,Western Colorado,Sophomore,Antonian Prep,"SAN ANTONIO, TX",TX,USA
7471,Freshman,Cedar Park,Texas,Vista Ridge,,Freshman,Vista Ridge,"CEDAR PARK, TX",TX,USA
8286,Junior,Jamesburg,New Jersey,Monroe Township,,Junior,Monroe Township,"JAMESBURG, NJ",NJ,USA
8295,Freshman,Wilmington,Delaware,Ursuline Academy,,Freshman,Ursuline Academy,"WILMINGTON, DE",DE,USA
8297,Freshman,Bordentown,NJ.,Notre Dame High School,,Freshman,Notre Dame High School,"BORDENTOWN, NJ",NJ,USA
8294,Freshman,Wilmington,Delaware,Charter School of Wilmington,,Freshman,Charter School of Wilmington,"WILMINGTON, DE",DE,USA
8288,Senior,Abington,Pennsylvania,Abington,,Senior,Abington,"ABINGTON, PA",PA,USA
8289,Junior,Berlin,New Jersey,Camden Catholic,,Junior,Camden Catholic,"BERLIN, NJ",NJ,USA
