player_id,name,height_clean,height_ft,height_in,total_inches
7174,Shaylee Coulter-Fa'amafu,"6'0""",6,0,72
7173,Kiera Bush,"6'2""",6,2,74
7179,Tori Maeda,"5'6""",5,6,66
7369,Riley Johnson,"5'9""",5,9,69
7370,Asher Cai,"5'9""",5,9,69
7371,Ashley Schow,"6'1""",6,1,73
7172,Samantha Bowman,"6'3""",6,3,75
7177,Claire Heitschmidt,"5'11""",5,11,71
7181,Jenna Troy,"5'9""",5,9,69
7372,Charity Hines,"6'3""",6,3,75
8405,Kyra Tanabe,"5'4""",5,4,64
8400,Olyvia Pacheco,"5'6""",5,6,66
8519,Molly Cockburn,"5'8""",5,8,68
8398,Liberty Line,"5'7""",5,7,67
8402,Gianna Principato,"5'9""",5,9,69
8395,Kadyn Comer,"5'5""",5,5,65
8406,Olivia Waufle,"5'8""",5,8,68
8391,Emily Achter,"5'7""",5,7,67
8407,Samiyah Worrell,"5'6""",5,6,66
8399,Brooke McCully,"6'0""",6,0,72
8520,Megan Counts,"6'0""",6,0,72
8394,Livia Castellanos,"5'10""",5,10,70
8401,Ashayla Powers,"5'10""",5,10,70
8403,Elle Ravenscroft,"5'9""",5,9,69
8523,Allison Olsen,"5'8""",5,8,68
8397,Claudia Dolliger,"6'0""",6,0,72
8392,Riley Aiono,"6'1""",6,1,73
8393,Awoti Akoi,"6'3""",6,3,75
8300,Haley Moore,"6'0""",6,0,72
8285,Shamiah Bridges,"5'5""",5,5,65
8288,Alissa Crafton,"5'6""",5,6,66
8287,Anna Cardwell,"5'7""",5,7,67
8301,Amiyah Donaldson,"5'7""",5,7,67
8293,Markyia McCormick,"5'6""",5,6,66
8299,Maggie Stephenson,"6'3""",6,3,75
8296,Trinity Palacio,"5'4""",5,4,64
8297,Leilani Pickens,"5'9""",5,9,69
8298,Dakota Reeves,"5'7""",5,7,67
8286,Nakiyah Bumgardner-Ferguson,"5'5""",5,5,65
8302,Kiley Graham,"6'1""",6,1,73
8291,Abby Lee,"5'8""",5,8,68
8294,Camryn Nadir,"5'10""",5,10,70
8290,Clarrissa Francis,"5'10""",5,10,70
8292,Brionna McClinton,"5'9""",5,9,69
8289,Sierra Davis,"6'2""",6,2,74
8295,Jamia Nesmith,"5'11""",5,11,71
3700,Darcy Doran,"5'10""",5,10,70
3711,Selena Pruitt,"5'7""",5,7,67
3705,Braylee McMath,"5'3""",5,3,63
3704,Isabella Jones,"5'11""",5,11,71
3707,Leanna Pearson,"5'7""",5,7,67
3696,Karlee Bates,"5'7""",5,7,67
3706,Jeremia Montgomery,"6'0""",6,0,72
3698,Chloe Crawford,"5'6""",5,6,66
3703,Emily Jones,"6'1""",6,1,73
3710,Kallie Searcy,"6'3""",6,3,75
3701,Anna Ehala,"6'0""",6,0,72
3697,Yaya Coleman,"5'10""",5,10,70
3709,Sophie Roston,"6'2""",6,2,74
3699,Bailey Cummings,"5'10""",5,10,70
